cytokine,cell
IL4,CL_0000844
IL2,CL_0000557
IL1A,CL_0000738
CCL19,CL_0000084
TGFB,CL_0000148
IL15,CL_0000913
GDF15,CL_0000066
TNF,CL_0000501
CCL5,CL_0000576
IL3,CL_0000081
CD40LG,CL_0000545
IL18,CL_0000910
CXCL12,CL_0002319
CCL17,CL_0000624
IL4,CL_0000557
IL2,CL_0000899
CXCL12,CL_0000134
IL1,CL_1001607
CCL5,CL_0000542
PF4,CL_0000235
TNFSF4,CL_0000236
CD40LG,CL_0000540
CXCL9,CL_0000322
IFNB1,CL_0002368
IL21,CL_0000097
KITLG,CL_0000134
CXCL10,CL_0000545
IL6,CL_0000048
CCL4,CL_0002092
SPP1,CL_0000624
IL22,CL_0000775
TNFSF15,CL_0002139
IL12,CL_0002128
IL3,CL_0000129
SPP1,CL_0000576
IL1B,CL_0000767
CXCL9,CL_0000236
TGFB1,CL_0000912
CSF1,CL_0000023
TNFSF8,CL_0000097
PDGF,CL_0000187
CD40LG,CL_0000792
CCL20,CL_0000066
TNFSF14,CL_0000084
IL22,CL_0000899
CX3CL1,CL_0000451
CCL5,CL_0000233
IL23,CL_0000771
IL5,CL_0000034
PDGF,CL_0000135
IL12B,CL_0000236
IL10,CL_0000037
IL3,CL_0000624
RETN,CL_0000235
IL1A,CL_0000576
CSF1,CL_0000763
IL4,CL_0000895
CSF2,CL_0000540
CCL5,CL_0000236
CCL26,CL_0000623
IFN1,CL_0000711
IL12,CL_0000911
IL10,CL_0000066
