cytokine,cell
IL15,"CD4-positive, alpha-beta T cell"
TGFB1,oligodendrocyte
IL27,osteoclast
IL1B,muscle cell
IL17,astrocyte
IL2,bone marrow cell
IL10,natural T-regulatory cell
IL1B,Clara cell
IFNL3,regulatory T cell
TGFB,smooth muscle cell
IL6,germinal center B cell
IL1B,leukocyte
CXCL12,fibrocyte
IFNA,bladder cell
IFNA,hematopoietic stem cell
IL6,T-helper 2 cell
IL21,keratinocyte
TGFB1,odontoblast
HGF,epithelial cell
TGFB,glial cell
CD40LG,monocyte
TGFB,stromal cell
CSF2,T-helper 1 cell
IL13,hepatocyte
IFNG,mucus secreting cell
MIF,neuron
IL9,"CD4-positive, alpha-beta T cell"
CCL25,"CD8-positive, alpha-beta T cell"
IL17,dendritic cell
IFN1,platelet
FGF2,smooth muscle cell
CSF1,T cell
IL10,granulocyte
IL1,synovial cell
EPO,cardiac muscle cell
GDF15,neuron
HGF,neutrophil
SPP1,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
TGFB1,"CD8-positive, alpha-beta T cell"
IFNG,Leydig cell
TNF,mast cell
IL6,B cell
CXCL14,neural cell
IFNB1,endothelial cell
TNF,enucleate erythrocyte
IL12,regulatory T cell
CSF2,hepatocyte
IL21,T-helper 17 cell
CCL6,intestinal epithelial cell
IL1RN,thymocyte
TGFB1,pro-B cell
IL4,"CD8-positive, alpha-beta cytotoxic T cell"
IL24,keratinocyte
CD40LG,memory B cell
IL18,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
IFNB1,osteoclast
IL19,macrophage
IL4,megakaryocyte
EPO,astrocyte
LIF,myoblast
TGF,"CD4-positive, alpha-beta T cell"
IL3,osteoblast
TGFB,parietal cell
IL25,basophil
IFN1,neuron
CCL2,mast cell progenitor
TGFB,muscle cell
IL33,astrocyte
IL6,erythrocyte
TNFSF15,T cell
IL23,T-helper 17 cell
IL22,leukocyte
FGF2,chondrocyte
CCL22,T cell
IL36G,keratinocyte
CXCL8,leukocyte
SPP1,macrophage
TGFB,alternatively activated macrophage
TGFB1,nasopharyngeal epithelial cell
IL23,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
IL11,osteoclast
CXCL10,eosinophil
CCL9,fat cell
IL13,multinucleated giant cell
IL33,epithelial cell
IL6,microglial cell
TNF,glomerular visceral epithelial cell
IFNG,mature astrocyte
TGFB1,mesothelial cell of peritoneum
CCL9,osteoclast
IL27,regulatory T cell
TGFB,smooth muscle myoblast
IL15,intestinal epithelial cell
IL1B,Kupffer cell
IL24,lymphocyte
CSF3,osteoblast
CCL2,astrocyte
CXCL1,macrophage
IL24,vascular associated smooth muscle cell
TGFB,mature natural killer cell
CXCL9,eosinophil
IL2,macrophage
EGF,fat cell
TGFB1,mesenchymal cell
CCL2,muscle cell
EPO,bone marrow cell
EPO,endothelial cell
TGFB,epiblast cell
TGFB,germ cell
TGF,T cell
CD40LG,marginal zone B cell
IL12,mature NK T cell
CCL18,precursor B cell
IL6,epithelial cell
IL10,goblet cell
IL1B,T cell
IL1B,melanocyte
TGFB1,muscle fibroblast
IL5,stromal cell
IL18,neutrophil
CSF2,fibroblast
CXCL12,granulocyte
